Zip Code,Community,Estimated Median Income
90001,	Los Angeles (South Los Angeles) Florence-Graham,	35660
90002,	Los Angeles (Southeast Los Angeles Watts),	34000
90003,	Los Angeles (South Los Angeles Southeast Los Angeles),	34397
90004,	Los Angeles (Hancock Park Rampart Village Virgil Village Wilshire Center Windsor Square),	46581
90005,	Los Angeles (Hancock Park Koreatown Wilshire Center Wilshire Park Windsor Square),	32461
90006,	Los Angeles (Byzantine-Latino Quarter Harvard Heights Koreatown Pico Heights),	33790
90007,	Los Angeles (Southeast Los Angeles Univerity Park), 23070
90008,	Los Angeles (Baldwin Hills Crenshaw Leimert Park),	36641
90010,	Los Angeles (Hancock Park Wilshire Center Windsor Square), 47115
90011,	Los Angeles (Southeast Los Angeles), 33824
90012,	Los Angeles (Downtown Civic Center Chinatown Arts District Bunker Hill Historic Core Little Tokyo), 38786
90013,	Los Angeles (Downtown Central Downtown Fashion District),	22808
90014,	Los Angeles (Downtown Historic Core Arts District),	37619
90015,	Los Angeles (Dowtown Fashion District South Park-South),	32979
90016,	Los Angeles (West Adams),	43443
90017, Los Angeles (Downtown Bunker Hill City West South Park-North),	28638
90018, Los Angeles (Jefferson Park Leimert Park), 37341
90019,	Los Angeles (Arlington Heights Country Club Park Mid-City),	50671
90020,	Los Angeles (Hancock Park Western Wilton Wilshire Center Windsor Square),	42407
90021,	Los Angeles (Downtown Fashion District Downtown Southeast),	12864
90022,	East Los Angeles,	41276
90023,	Commerce East Los Angeles,	40225
90024,	Los Angeles (Westwood),	59418
90025,	Los Angeles (Sawtelle West Los Angeles),	78713
90026,	Los Angeles (Echo Park Silver Lake),	54342
90027,	Los Angeles (Griffith Park Hollywood Los Feliz),	58344
90028,	Los Angeles (Hollywood),	40068
90029,	Los Angeles (East Hollywood),	37379
90031,	Los Angeles (Lincoln Heights Montecito Heights),	41126
90032,	Los Angeles (El Sereno Monterey Hills),	47370
90033,	Los Angeles (Boyle Heights),	31683
90034,	Los Angeles (Palms),	65572
90035,	Los Angeles (West Fairfax),	76677
90036,	Los Angeles (Fairfax Melrose Miracle Mile Park La Brea Wilshire-La Brea),	74279
90037,	Los Angeles (South Los Angeles),	31045
90038,	Los Angeles (Hollywood),	36996
90039,	Los Angeles (Atwater Village Elysian Valley Silver Lake),	81394
90040,	Commerce City of,	43585
90041,	Los Angeles (Eagle Rock),	73250
90042,	Los Angeles (Highland Park),	55596
90043,	Los Angeles (Hyde Park View Park Windsor Hills),	41812
90044,	Athens Los Angeles (South Los Angeles),	32278
90045,	Los Angeles (Los Angeles International Airport Westchester),	90399
90046,	Los Angeles (Hollywood) West Hollywood,	65990
90047,	Los Angeles (South Los Angeles),	42551
90048,	Los Angeles (Mid-City West) West Hollywood,	85396
90049,	Los Angeles (Bel Air Estates Brentwood),	121671
90056,	Ladera Heights,	84438
90057,	Los Angeles (Westlake),	31337
90058,	Los Angeles (Southeast Los Angeles) Vernon,	16425
90059,	Los Angeles (Southeast Los Angeles Watts) Willowbrook,	37653
90061,	Los Angeles (South Los Angeles),	37126
90062,	Los Angeles (South Los Angeles),	40018
90063,	City Terrace Los Angeles (Boyle Heights),	44121
90064,	Los Angeles (Cheviot Hills Rancho Park),	92194
90065,	Los Angeles (Cypress Park Glassell Park Mt Washington),	58405
90066,	Culver City Los Angeles (Mar Vista),	75209
90067,	Los Angeles (Century City),	123889
90068,	Los Angeles (Hollywood),	82718
90069,	Los Angeles (Hollywood Melrose) West Hollywood,	86403
90077,	Los Angeles (Bel Air Estates Beverly Glen),	184722
90094,	Los Angeles (Playa Vista),	136250
90201,	Bell Bell Gardens Cudahy,	39498
90210,	Beverly Hills,	149732
90211,	Beverly Hills,	71402
90212,	Beverly Hills,	103032
90220,	Compton Rancho Dominguez,	54014
90221,	Compton East Rancho Dominguez,	46008
90222,	Compton Rosewood Willowbrook,	40719
90230,	Culver City,	79242
90232,	Culver City,	82254
90240,	Downey,	81205
90241,	Downey,	64222
90242,	Downey,	62402
90245,	El Segundo,	92942
90247,	Gardena,	46076
90248,	Gardena,	58703
90249,	Gardena,	53964
90250,	Hawthorne (Holly Park),	49417
90254,	Hermosa Beach,	124849
90255,	Huntington Park Walnut Park,	40325
90260,	Lawndale,	58792
90262,	Lynwood,	45897
90265,	Malibu,	137672
90266,	Manhattan Beach, 148899
90270,	Bell Maywood,	37553
90272,	Los Angeles (Castellemare Pacific Highlands Pacific Palisades Topanga State Park), 180962
90274,	Palos Verdes Estates Rolling Hills Rolling Hills Estates,	158497
90275,	Palos Verdes Estates Rancho Palos Verdes Rolling Hills Estates,	124384
90277,	Redondo Beach Torrance,	101532
90278,	Redondo Beach Torrance,	107242
90280,	South Gate,	47281
90290,	Topanga,	103553
90291,	Los Angeles (Venice),	88078
90292,	Los Angeles (Marina Peninsula) Marina del Rey,	103948
90293,	Los Angeles (Playa del Rey),	100042
90301,	Inglewood,	42100
90302,	Inglewood,	43788
90303,	Inglewood,	44470
90304,	Inglewood Lennox,	41054
90305,	Inglewood,	68760
90401,	Santa Monica (Downtown),	71154
90402,	Santa Monica,	140179
90403,	Santa Monica,	92096
90404,	Santa Monica,	73601
90405,	Santa Monica (Ocean Park Santa Monica Airport Sunpark),	88445
90501,	Torrance,	64995
90502,	Torrance West Carson,	68676
90503,	Torrance,	84615
90504,	Torrance,	79352
90505,	Torrance,	91569
90601,	City of Industry Whittier,	69740
90602,	Whittier,	48427
90603,	Whittier,	95354
90604,	East La Mirada South Whittier Whittier,	66974
90605,	South Whittier Whittier,	66963
90606,	Los Nietos West Whittier,	66566
90623,	Cerritos (overlaps Orange County),	91131
90630,	Hawaiian Gardens (overlaps Orange County),	90165
90631,	La Habra Heights,	76910
90638,	La Mirada,	86141
90640,	Montebello,	50326
90650,	Norwalk,	63669
90660,	Pico Rivera,	61524
90670,	Santa Fe Springs,	66509
90701,	Artesia,	62863
90703,	Cerritos,	98175
90704,	Avalon Santa Catalina Island,	63021
90706,	Bellflower,	52944
90710,	Los Angeles (Harbor City),	57968
90712,	Lakewood,	83627
90713,	Lakewood,	94110
90715,	Lakewood,	69905
90716,	Hawaiian Gardens,	38500
90717,	Lomita,	61077
90723,	Paramount,	49064
90731,	Los Angeles (San Pedro Terminal Island),	49464
90732,	Los Angeles (San Pedro) Rancho Palos Verdes,	89440
90740,	Long Beach (overlaps Orange County),	65299
90744,	Los Angeles (Wilmington),	43284
90745,	Carson,	73053
90746,	Carson,	81988
90755,	Signal Hill,	75828
90802,	Long Beach,	51302
90803,	Long Beach (Belmont Shore Marina Naples),	83861
90804,	Long Beach (East Long Beach),	47437
90805,	Long Beach (North Long Beach),	47981
90806,	Long Beach,	50615
90807,	Long Beach (Bixby Knolls),	75057
90808,	Long Beach,	102563
90810,	Carson Dominguez Long Beach,	56061
90813,	Long Beach,	34257
90814,	Long Beach,	64623
90815,	Long Beach,	84714
91001,	Altadena,	91090
91006,	Arcadia,	99360
91007,	Arcadia,	79964
91008,	Bradbury,	112813
91010,	Azusa Bradbury Duarte Irwindale Monrovia,	68599
91011,	La Cañada Flintridge,	160288
